A	B
-0.0555	0
-0.0505	-0.6
-0.0455	-1.2
-0.0405	-2.2
-0.0355	-3.8
-0.0305	-7.4
-0.0255	-13.6
-0.0205	-25.2
-0.0155	-46.8
-0.0105	-86.6
-0.0055	-135.2
-5E-4	-192.8
0.0045	-240
0.0095	-277.6
0.0145	-297.2
0.0195	-304
0.0245	-303.2
0.0295	-296.8
0.0345	-289.2
0.0395	-280
0.0445	-271.2
0.0495	-260.6
0.0545	-251.4
0.0595	-241.4
0.0645	-232.4
0.0695	-223.4
0.0745	-215.2
0.0795	-207.8
0.0845	-198.6
0.0895	-190.2
0.0945	-180
0.0995	-174
0.1045	-165.6
0.1095	-157.6
0.1145	-150.6
0.1195	-142.4
0.1245	-134.8
0.1295	-125.6
0.1345	-117.8
0.1395	-110
0.1445	-101.8
0.1495	-91.6
0.1545	-82.6
0.1595	-73
0.1645	-64
0.1695	-53.4
0.1745	-44.2
0.1795	-34.4
0.1845	-25.2
0.1895	-15
0.1945	-5.8
0.1995	4.8
0.2045	12.4
0.2095	24.8
0.2145	35.8
0.2195	46.2
0.2245	58.4
0.2295	71.4
0.2345	86.4
0.2395	100
0.2445	112.4
0.2495	124.6
0.2545	136.8
0.2595	149.2
0.2645	161.2
0.2695	174.6
0.2745	187.6
0.2795	206
0.2845	219
0.2895	229.6
0.2945	229.2
0.2995	211.8
0.3045	176.4
0.3095	119.4
0.3145	79.6
0.3195	44.6
0.3245	25
0.3295	10.4
