# x / m,	B / T
-0.0880000	-0.0001700
-0.0780000	-0.0000600
-0.0680000	 0.0001400
-0.0580000	 0.0004300
-0.0480000	 0.0009300
-0.0380000	 0.0018900
-0.0280000	 0.0036000
-0.0180000	 0.0061400
-0.0080000	 0.0106300
 0.0020000	 0.0165300
 0.0120000	 0.0219400
 0.0220000	 0.0241900
 0.0320000	 0.0230200
 0.0420000	 0.0211400
 0.0520000	 0.0194300
 0.0620000	 0.0167400
 0.0720000	 0.0145600
 0.0820000	 0.0134300
 0.0920000	 0.0117600
 0.1020000	 0.0096600
 0.1120000	 0.0080100
 0.1220000	 0.0057100
 0.1320000	 0.0019600
 0.1420000	-0.0011500
 0.1520000	-0.0031500
 0.1620000	-0.0050400
 0.1720000	-0.0077600
 0.1820000	-0.0096800
 0.1920000	-0.0104900
 0.2020000	-0.0121800
 0.2120000	-0.0140400
 0.2220000	-0.0146700
 0.2320000	-0.0162000
 0.2420000	-0.0188800
 0.2520000	-0.0206500
 0.2620000	-0.0220800
 0.2720000	-0.0238700
 0.2820000	-0.0226100
 0.2920000	-0.0175400
 0.3020000	-0.0104400
 0.3120000	-0.0057100
 0.3220000	-0.0026500
 0.3320000	-0.0011000
 0.3420000	-0.0001900
 0.3520000	 0.0001600
 0.3620000	 0.0003100
 0.3720000	 0.0003500
 0.3820000	 0.0003400
