# x / m,	B / T
420.0000000	 0.0000000
410.0000000	 0.0000000
400.0000000	 0.0000000
390.0000000	 0.0000000
380.0000000	 0.0000000
380.0000000	 0.0000000
380.0000000	 0.0000000
370.0000000	 0.0000000
360.0000000	 0.0000000
350.0000000	 0.0000000
340.0000000	 0.0000000
280.0000000	-0.0292876
270.0000000	-0.0275525
260.0000000	-0.0249121
250.0000000	-0.0224880
240.0000000	-0.0204943
230.0000000	-0.0187162
220.0000000	-0.0169102
210.0000000	-0.0150406
200.0000000	-0.0131220
190.0000000	-0.0110094
180.0000000	-0.0087214
170.0000000	-0.0065222
160.0000000	-0.0045670
150.0000000	-0.0024600
140.0000000	 0.0002351
130.0000000	 0.0029682
120.0000000	 0.0052383
110.0000000	 0.0075363
100.0000000	 0.0101575
90.0000000	 0.0126536
80.0000000	 0.0148226
70.0000000	 0.0169553
60.0000000	 0.0192046
50.0000000	 0.0216342
40.0000000	 0.0244180
30.0000000	 0.0273434
20.0000000	 0.0291599
