# x / m	B / T
500.0000000	 0.0001681
498.0000000	 0.0001717
496.0000000	 0.0001755
494.0000000	 0.0001793
492.0000000	 0.0001832
490.0000000	 0.0001873
488.0000000	 0.0001915
486.0000000	 0.0001957
484.0000000	 0.0002001
482.0000000	 0.0002046
480.0000000	 0.0002093
478.0000000	 0.0002141
476.0000000	 0.0002190
474.0000000	 0.0002240
472.0000000	 0.0002292
470.0000000	 0.0002346
468.0000000	 0.0002401
466.0000000	 0.0002457
464.0000000	 0.0002515
462.0000000	 0.0002575
460.0000000	 0.0002637
458.0000000	 0.0002700
456.0000000	 0.0002765
454.0000000	 0.0002832
452.0000000	 0.0002901
450.0000000	 0.0002972
448.0000000	 0.0003045
446.0000000	 0.0003120
444.0000000	 0.0003197
442.0000000	 0.0003276
440.0000000	 0.0003358
438.0000000	 0.0003442
436.0000000	 0.0003529
434.0000000	 0.0003617
432.0000000	 0.0003709
430.0000000	 0.0003803
428.0000000	 0.0003899
426.0000000	 0.0003998
424.0000000	 0.0004100
422.0000000	 0.0004204
420.0000000	 0.0004311
418.0000000	 0.0004421
416.0000000	 0.0004534
414.0000000	 0.0004649
412.0000000	 0.0004767
410.0000000	 0.0004887
408.0000000	 0.0005011
406.0000000	 0.0005136
404.0000000	 0.0005264
402.0000000	 0.0005395
400.0000000	 0.0005527
398.0000000	 0.0005662
396.0000000	 0.0005798
394.0000000	 0.0005935
392.0000000	 0.0006073
390.0000000	 0.0006212
388.0000000	 0.0006350
386.0000000	 0.0006488
384.0000000	 0.0006624
382.0000000	 0.0006758
380.0000000	 0.0006888
378.0000000	 0.0007014
376.0000000	 0.0007134
374.0000000	 0.0007246
372.0000000	 0.0007348
370.0000000	 0.0007439
368.0000000	 0.0007514
366.0000000	 0.0007573
364.0000000	 0.0007610
362.0000000	 0.0007623
360.0000000	 0.0007605
358.0000000	 0.0007553
356.0000000	 0.0007459
354.0000000	 0.0007316
352.0000000	 0.0007117
350.0000000	 0.0006850
348.0000000	 0.0006506
346.0000000	 0.0006071
344.0000000	 0.0005529
342.0000000	 0.0004865
340.0000000	 0.0004057
338.0000000	 0.0003084
336.0000000	 0.0001918
334.0000000	 0.0000530
332.0000000	-0.0001115
330.0000000	-0.0003057
328.0000000	-0.0005341
326.0000000	-0.0008016
324.0000000	-0.0011142
322.0000000	-0.0014781
320.0000000	-0.0019004
318.0000000	-0.0023891
316.0000000	-0.0029525
314.0000000	-0.0035996
312.0000000	-0.0043398
310.0000000	-0.0051825
308.0000000	-0.0061365
306.0000000	-0.0072100
304.0000000	-0.0084091
302.0000000	-0.0097374
300.0000000	-0.0111940
298.0000000	-0.0127729
296.0000000	-0.0144611
294.0000000	-0.0162372
292.0000000	-0.0180701
290.0000000	-0.0199189
288.0000000	-0.0217327
286.0000000	-0.0234532
284.0000000	-0.0250173
282.0000000	-0.0263626
280.0000000	-0.0274336
278.0000000	-0.0281890
276.0000000	-0.0286081
274.0000000	-0.0286955
272.0000000	-0.0284825
270.0000000	-0.0280247
268.0000000	-0.0273959
266.0000000	-0.0266783
264.0000000	-0.0259523
262.0000000	-0.0252862
260.0000000	-0.0247284
258.0000000	-0.0243019
256.0000000	-0.0240039
254.0000000	-0.0238069
252.0000000	-0.0236651
250.0000000	-0.0235212
248.0000000	-0.0233168
246.0000000	-0.0230013
244.0000000	-0.0225413
242.0000000	-0.0219263
240.0000000	-0.0211711
238.0000000	-0.0203140
236.0000000	-0.0194102
234.0000000	-0.0185233
232.0000000	-0.0177151
230.0000000	-0.0170362
228.0000000	-0.0165188
226.0000000	-0.0161727
224.0000000	-0.0159840
222.0000000	-0.0159174
220.0000000	-0.0159216
218.0000000	-0.0159365
216.0000000	-0.0159018
214.0000000	-0.0157660
212.0000000	-0.0154945
210.0000000	-0.0150747
208.0000000	-0.0145174
206.0000000	-0.0138556
204.0000000	-0.0131378
202.0000000	-0.0124206
200.0000000	-0.0117599
198.0000000	-0.0112018
196.0000000	-0.0107771
194.0000000	-0.0104963
192.0000000	-0.0103493
190.0000000	-0.0103062
188.0000000	-0.0103220
186.0000000	-0.0103426
184.0000000	-0.0103122
182.0000000	-0.0101811
180.0000000	-0.0099131
178.0000000	-0.0094903
176.0000000	-0.0089156
174.0000000	-0.0082116
172.0000000	-0.0074170
170.0000000	-0.0065807
168.0000000	-0.0057550
166.0000000	-0.0049885
164.0000000	-0.0043207
162.0000000	-0.0037772
160.0000000	-0.0033676
158.0000000	-0.0030848
156.0000000	-0.0029064
154.0000000	-0.0027974
152.0000000	-0.0027146
150.0000000	-0.0026117
148.0000000	-0.0024444
146.0000000	-0.0021762
144.0000000	-0.0017813
142.0000000	-0.0012485
140.0000000	-0.0005814
138.0000000	 0.0002021
136.0000000	 0.0010718
134.0000000	 0.0019884
132.0000000	 0.0029081
130.0000000	 0.0037866
128.0000000	 0.0045839
126.0000000	 0.0052688
124.0000000	 0.0058223
122.0000000	 0.0062397
120.0000000	 0.0065313
118.0000000	 0.0067216
116.0000000	 0.0068459
114.0000000	 0.0069464
112.0000000	 0.0070667
110.0000000	 0.0072465
108.0000000	 0.0075168
106.0000000	 0.0078964
104.0000000	 0.0083895
102.0000000	 0.0089854
100.0000000	 0.0096598
98.0000000	 0.0103777
96.0000000	 0.0110978
94.0000000	 0.0117782
92.0000000	 0.0123816
90.0000000	 0.0128812
88.0000000	 0.0132648
86.0000000	 0.0135365
84.0000000	 0.0137172
82.0000000	 0.0138413
80.0000000	 0.0139525
78.0000000	 0.0140975
76.0000000	 0.0143200
74.0000000	 0.0146548
72.0000000	 0.0151231
70.0000000	 0.0157296
68.0000000	 0.0164616
66.0000000	 0.0172906
64.0000000	 0.0181756
62.0000000	 0.0190686
60.0000000	 0.0199213
58.0000000	 0.0206921
56.0000000	 0.0213525
54.0000000	 0.0218912
52.0000000	 0.0223157
50.0000000	 0.0226509
48.0000000	 0.0229351
46.0000000	 0.0232132
44.0000000	 0.0235301
42.0000000	 0.0239234
40.0000000	 0.0244169
38.0000000	 0.0250166
36.0000000	 0.0257080
34.0000000	 0.0264569
32.0000000	 0.0272116
30.0000000	 0.0279090
28.0000000	 0.0284811
26.0000000	 0.0288633
24.0000000	 0.0290022
22.0000000	 0.0288612
20.0000000	 0.0284245
18.0000000	 0.0276970
16.0000000	 0.0267027
14.0000000	 0.0254798
12.0000000	 0.0240759
10.0000000	 0.0225428
 8.0000000	 0.0209313
 6.0000000	 0.0192883
 4.0000000	 0.0176541
 2.0000000	 0.0160618
 0.0000000	 0.0145364
-2.0000000	 0.0130959
-4.0000000	 0.0117515
-6.0000000	 0.0105096
-8.0000000	 0.0093718
-10.0000000	 0.0083368
-12.0000000	 0.0074007
-14.0000000	 0.0065582
-16.0000000	 0.0058031
-18.0000000	 0.0051285
-20.0000000	 0.0045274
-22.0000000	 0.0039930
