dist	field
0	-321.29965
1E-4	-321.15589
2E-4	-321.01211
3E-4	-320.86832
4E-4	-320.72451
5E-4	-320.58068
6E-4	-320.43684
7E-4	-320.29298
8E-4	-320.14911
9E-4	-320.00522
1E-3	-319.86132
0.0011	-319.7174
0.0012	-319.57346
0.0013	-319.42951
0.0014	-319.28554
0.0015	-319.14155
0.0016	-318.99755
0.0017	-318.85354
0.0018	-318.7095
0.0019	-318.56545
0.002	-318.42139
0.0021	-318.27731
0.0022	-318.13321
0.0023	-317.9891
0.0024	-317.84497
0.0025	-317.70082
0.0026	-317.55666
0.0027	-317.41248
0.0028	-317.26829
0.0029	-317.12408
0.003	-316.97985
0.0031	-316.83561
0.0032	-316.69135
0.0033	-316.54707
0.0034	-316.40278
0.0035	-316.25848
0.0036	-316.11415
0.0037	-315.96981
0.0038	-315.82546
0.0039	-315.68109
0.004	-315.5367
0.0041	-315.39229
0.0042	-315.24787
0.0043	-315.10344
0.0044	-314.95899
0.0045	-314.81452
0.0046	-314.67003
0.0047	-314.52553
0.0048	-314.38101
0.0049	-314.23648
0.005	-314.09193
0.0051	-313.94736
0.0052	-313.80278
0.0053	-313.65818
0.0054	-313.51357
0.0055	-313.36894
0.0056	-313.22429
0.0057	-313.07962
0.0058	-312.93494
0.0059	-312.79025
0.006	-312.64554
0.0061	-312.50081
0.0062	-312.35606
0.0063	-312.2113
0.0064	-312.06652
0.0065	-311.92173
0.0066	-311.77692
0.0067	-311.63209
0.0068	-311.48725
0.0069	-311.34239
0.007	-311.19751
0.0071	-311.05262
0.0072	-310.90771
0.0073	-310.76279
0.0074	-310.61785
0.0075	-310.47289
0.0076	-310.32792
0.0077	-310.18293
0.0078	-310.03792
0.0079	-309.8929
0.008	-309.74786
0.0081	-309.6028
0.0082	-309.45773
0.0083	-309.31264
0.0084	-309.16754
0.0085	-309.02241
0.0086	-308.87728
0.0087	-308.73212
0.0088	-308.58695
0.0089	-308.44176
0.009	-308.29656
0.0091	-308.15134
0.0092	-308.0061
0.0093	-307.86085
0.0094	-307.71558
0.0095	-307.5703
0.0096	-307.42499
0.0097	-307.27967
0.0098	-307.13434
0.0099	-306.98899
0.01	-306.84362
0.0101	-306.69823
0.0102	-306.55283
0.0103	-306.40741
0.0104	-306.26198
0.0105	-306.11653
0.0106	-305.97106
0.0107	-305.82558
0.0108	-305.68008
0.0109	-305.53456
0.011	-305.38903
0.0111	-305.24348
0.0112	-305.09791
0.0113	-304.95232
