A	B
0	-266.85229
1E-4	-267.10281
2E-4	-267.35615
3E-4	-267.61222
4E-4	-267.87097
5E-4	-268.1323
6E-4	-268.39617
7E-4	-268.66248
8E-4	-268.93118
9E-4	-269.20218
1E-3	-269.47542
0.0011	-269.75082
0.0012	-270.02832
0.0013	-270.30782
0.0014	-270.58927
0.0015	-270.8726
0.0016	-271.15771
0.0017	-271.44456
0.0018	-271.73305
0.0019	-272.02312
0.002	-272.31469
0.0021	-272.6077
0.0022	-272.90207
0.0023	-273.19772
0.0024	-273.49459
0.0025	-273.79261
0.0026	-274.09169
0.0027	-274.39178
0.0028	-274.6928
0.0029	-274.99467
0.003	-275.29734
0.0031	-275.60073
0.0032	-275.90477
0.0033	-276.20939
0.0034	-276.51452
0.0035	-276.82011
0.0036	-277.12607
0.0037	-277.43235
0.0038	-277.73887
0.0039	-278.04557
0.004	-278.3524
0.0041	-278.65927
0.0042	-278.96614
0.0043	-279.27293
0.0044	-279.57959
0.0045	-279.88605
0.0046	-280.19226
0.0047	-280.49815
0.0048	-280.80366
0.0049	-281.10874
0.005	-281.41333
0.0051	-281.71737
0.0052	-282.0208
0.0053	-282.32358
0.0054	-282.62564
0.0055	-282.92693
0.0056	-283.2274
0.0057	-283.52699
0.0058	-283.82567
0.0059	-284.12337
0.006	-284.42004
0.0061	-284.71564
0.0062	-285.01012
0.0063	-285.30343
0.0064	-285.59553
0.0065	-285.88637
0.0066	-286.17591
0.0067	-286.4641
0.0068	-286.7509
0.0069	-287.03627
0.007	-287.32017
0.0071	-287.60255
0.0072	-287.88338
0.0073	-288.16262
0.0074	-288.44024
0.0075	-288.71619
0.0076	-288.99044
0.0077	-289.26295
0.0078	-289.53369
0.0079	-289.80264
0.008	-290.06974
0.0081	-290.33498
0.0082	-290.59832
0.0083	-290.85973
0.0084	-291.11919
0.0085	-291.37666
0.0086	-291.63212
0.0087	-291.88553
0.0088	-292.13688
0.0089	-292.38614
0.009	-292.63328
0.0091	-292.87829
0.0092	-293.12113
0.0093	-293.36178
0.0094	-293.60023
0.0095	-293.83645
0.0096	-294.07042
0.0097	-294.30212
0.0098	-294.53154
0.0099	-294.75866
0.01	-294.98345
0.0101	-295.20591
0.0102	-295.42601
0.0103	-295.64374
0.0104	-295.85909
0.0105	-296.07204
0.0106	-296.28258
0.0107	-296.4907
0.0108	-296.69638
0.0109	-296.89961
0.011	-297.10038
0.0111	-297.29868
0.0112	-297.49451
0.0113	-297.68784
0.0114	-297.87868
0.0115	-298.06701
0.0116	-298.25283
0.0117	-298.43613
0.0118	-298.61691
0.0119	-298.79515
0.012	-298.97085
0.0121	-299.14401
0.0122	-299.31462
0.0123	-299.48268
0.0124	-299.64818
0.0125	-299.81113
0.0126	-299.97151
0.0127	-300.12932
0.0128	-300.28457
0.0129	-300.43726
0.013	-300.58737
0.0131	-300.73491
0.0132	-300.87989
0.0133	-301.02229
0.0134	-301.16213
0.0135	-301.29939
0.0136	-301.43409
0.0137	-301.56622
0.0138	-301.69579
0.0139	-301.82279
0.014	-301.94724
0.0141	-302.06912
0.0142	-302.18846
0.0143	-302.30524
0.0144	-302.41948
0.0145	-302.53117
0.0146	-302.64033
0.0147	-302.74695
0.0148	-302.85104
0.0149	-302.95261
0.015	-303.05166
0.0151	-303.1482
0.0152	-303.24222
0.0153	-303.33375
0.0154	-303.42278
0.0155	-303.50933
0.0156	-303.59339
0.0157	-303.67498
0.0158	-303.7541
0.0159	-303.83076
0.016	-303.90497
0.0161	-303.97673
0.0162	-304.04605
0.0163	-304.11295
0.0164	-304.17742
0.0165	-304.23948
0.0166	-304.29914
0.0167	-304.3564
0.0168	-304.41127
0.0169	-304.46377
0.017	-304.5139
0.0171	-304.56167
0.0172	-304.60709
0.0173	-304.65017
0.0174	-304.69091
0.0175	-304.72934
0.0176	-304.76546
0.0177	-304.79927
0.0178	-304.8308
0.0179	-304.86004
0.018	-304.88701
0.0181	-304.91173
0.0182	-304.93419
0.0183	-304.95441
0.0184	-304.97241
0.0185	-304.98819
0.0186	-305.00176
0.0187	-305.01313
0.0188	-305.02232
0.0189	-305.02934
0.019	-305.03419
0.0191	-305.03689
0.0192	-305.03745
0.0193	-305.03588
0.0194	-305.03219
0.0195	-305.02639
0.0196	-305.0185
0.0197	-305.00852
0.0198	-304.99647
0.0199	-304.98236
0.02	-304.9662
0.0201	-304.94801
0.0202	-304.92778
0.0203	-304.90554
0.0204	-304.8813
0.0205	-304.85506
0.0206	-304.82685
0.0207	-304.79666
0.0208	-304.76452
0.0209	-304.73044
0.021	-304.69442
0.0211	-304.65648
0.0212	-304.61664
0.0213	-304.57489
0.0214	-304.53126
0.0215	-304.48575
0.0216	-304.43839
0.0217	-304.38917
0.0218	-304.33811
0.0219	-304.28523
0.022	-304.23053
0.0221	-304.17403
0.0222	-304.11574
0.0223	-304.05567
0.0224	-303.99383
0.0225	-303.93024
0.0226	-303.8649
0.0227	-303.79783
0.0228	-303.72904
0.0229	-303.65854
0.023	-303.58634
0.0231	-303.51246
0.0232	-303.43691
0.0233	-303.35969
0.0234	-303.28082
0.0235	-303.20032
0.0236	-303.11819
0.0237	-303.03444
0.0238	-302.94909
0.0239	-302.86215
0.024	-302.77363
0.0241	-302.68354
0.0242	-302.59189
0.0243	-302.49869
0.0244	-302.40397
0.0245	-302.30772
0.0246	-302.20995
0.0247	-302.11069
0.0248	-302.00994
0.0249	-301.90771
0.025	-301.80402
0.0251	-301.69887
0.0252	-301.59228
0.0253	-301.48425
0.0254	-301.3748
0.0255	-301.26395
0.0256	-301.15169
0.0257	-301.03805
0.0258	-300.92303
0.0259	-300.80665
0.026	-300.68891
0.0261	-300.56982
0.0262	-300.44941
0.0263	-300.32767
0.0264	-300.20462
0.0265	-300.08027
0.0266	-299.95463
0.0267	-299.82771
0.0268	-299.69953
0.0269	-299.57008
0.027	-299.43939
0.0271	-299.30747
0.0272	-299.17432
0.0273	-299.03995
0.0274	-298.90438
0.0275	-298.76761
0.0276	-298.62966
0.0277	-298.49054
0.0278	-298.35025
0.0279	-298.20881
0.028	-298.06623
0.0281	-297.92252
0.0282	-297.77768
0.0283	-297.63173
0.0284	-297.48468
0.0285	-297.33654
0.0286	-297.18732
0.0287	-297.03702
0.0288	-296.88566
0.0289	-296.73325
0.029	-296.5798
